establishment_name,state,naics_code,inspection_date,year
"KROGER 381, INC.",MS,445110.0,2016-01-20,2016
"SIMPLY FOOD L.I.C, LLC",NY,445110.0,2016-01-19,2016
"PIGGLY WIGGLY ALABAMA DISTRIBUTING CO., INC.",AL,445110.0,2016-01-13,2016
KROGER CO (THE),TN,445110.0,2016-01-13,2016
MM MERGER SUB LLC,WA,445110.0,2016-01-13,2016
"WALT'S MARKET, INC. ",CT,445110.0,2016-01-12,2016
QSI INC,HI,445110.0,2015-12-29,2015
"NORTH STATE GROCERY, INC.",CA,445110.0,2015-12-23,2015
DELHAIZE AMERICA LLC DC 7,PA,445110.0,2015-12-22,2015
THREE BEARS ALASKA #80,AK,445110.0,2015-12-10,2015
SAFEWAY INC,HI,445110.0,2015-12-10,2015
PUGET CONSUMERS CO OP INC,WA,445110.0,2015-12-09,2015
PUBLIX SUPERMARKET,FL,445110.0,2015-12-08,2015
COMPASSION INC DBA SAVE-A-LOT,MI,445110.0,2015-12-03,2015
LA RANCHERA,LA,445110.0,2015-12-01,2015
WHOLE FOODS MARKET,NY,445110.0,2015-11-24,2015
SAFEWAY STORE #962,CA,445110.0,2015-11-23,2015
"HAGGEN OPCO NORTH, LLC",WA,445110.0,2015-11-19,2015
HB84 FOOD CORP.,NY,445110.0,2015-11-18,2015
NORTHGATE GONZALEZ LLC,CA,445110.0,2015-11-12,2015
KROGER COMPANY,TX,445110.0,2015-11-12,2015
SAFEWAY INC,WA,445110.0,2015-11-10,2015
WAL-MART,IA,445110.0,2015-11-10,2015
"CAPSTONE LOGISTICS, LLC",AL,445110.0,2015-11-09,2015
ACME MARKETS,CT,445110.0,2015-11-06,2015
FRED W. ALBRECHT GROCERY COMPANY,OH,445110.0,2015-11-06,2015
DOLLAR GENERAL MARKET,CA,445110.0,2015-11-04,2015
"VILLAGE MARKET, INC.",CA,445110.0,2015-11-03,2015
BUSCH'S STORE #1035,MI,445110.0,2015-11-02,2015
"PACIFIC PRODUCE, INC.",WI,445110.0,2015-10-30,2015
KROGER FOOD STORE #529,TX,445110.0,2015-10-29,2015
BASHAS' INC.,AZ,445110.0,2015-10-28,2015
K-VA-T FOOD STORES INC,TN,445110.0,2015-10-23,2015
SUPERMERCADOS MAXIMO INC,PR,445110.0,2015-10-16,2015
ALBERTSONS L.L.C.,CA,445110.0,2015-10-14,2015
"GIANT OF MARYLAND, LLC",MD,445110.0,2015-10-09,2015
"PUBLIX SUPER MARKETS, INC.",FL,445110.0,2015-10-08,2015
HY-VEE FOOD STORE ,KS,445110.0,2015-10-07,2015
JOSEPH'S FOODLAND INC.,MI,445110.0,2015-10-06,2015
SUPERMERCADO LA UNION DE TODOS INC ,PR,445110.0,2015-10-06,2015
"NUGGET MARKET, INC.",CA,445110.0,2015-09-30,2015
MARCOS A MUNIZ CINTRON,PR,445110.0,2015-09-28,2015
ER MANAGEMENT INC,PR,445110.0,2015-09-28,2015
CORPORACION LOS HERMANOS,PR,445110.0,2015-09-24,2015
MIRAFLORES COMERCIAL INC,PR,445110.0,2015-09-21,2015
SUPERMERCADO ADORNO,PR,445110.0,2015-09-21,2015
THE FRESH MARKET,NJ,445110.0,2015-09-18,2015
SUPERMERCADO ALONDRA,PR,445110.0,2015-09-18,2015
"BREEN'S MARKET, INC.",NY,445110.0,2015-09-18,2015
JENIFER STREET MARKET,WI,445110.0,2015-09-17,2015
WALMART NEIGHBORHOOD MARKET,NV,445110.0,2015-09-14,2015
JOSE RICARDO TORRES,PR,445110.0,2015-09-11,2015
RAFAEL SANTIAGO RIVERA,PR,445110.0,2015-09-11,2015
"NEW ALBERTSON'S, INC.",IL,445110.0,2015-09-09,2015
"WEGMAN""S FOOD MARKETS, INC",NY,445110.0,2015-09-03,2015
ALBERTSONS LLC # 6728,CA,445110.0,2015-09-03,2015
SELECT STAFFING,CA,445110.0,2015-09-03,2015
WALMART DE PUERTO RICO INC,PR,445110.0,2015-09-03,2015
RALPHS FOOD WAREHOUSE INC,PR,445110.0,2015-09-02,2015
SUPERMERCADOS MAXIMO INC,PR,445110.0,2015-09-02,2015
"WALMART STORES, INC.",WV,445110.0,2015-09-02,2015
ECONO  MORALES NO 2 INC,PR,445110.0,2015-09-02,2015
HANNAFORD BROS. CO.,NY,445110.0,2015-09-01,2015
FRESH VALLEY CORPORATION,PR,445110.0,2015-09-01,2015
BASHAS' INC.,AZ,445110.0,2015-09-01,2015
QUINONES SELF SERVICE,PR,445110.0,2015-08-31,2015
DEFENSE COMMISSARY AGENCY,AL,445110.0,2015-08-26,2015
A N J INC,PR,445110.0,2015-08-26,2015
RM SUPERMARKET CORP,PR,445110.0,2015-08-26,2015
RALEY'S ,CA,445110.0,2015-08-18,2015
WELCOME MARKET INC,WA,445110.0,2015-01-20,2015
WAL-MART,IL,445110.0,2012-07-18,2012
"SUNFLOWER FARMERS MARKETS, LLC",AZ,445110.0,2016-07-05,2016
PUEBLO INC,PR,445110.0,2015-09-17,2015
RAFAEL SANTIAGO RIVERA,PR,445110.0,2015-09-09,2015
ALBERTSON'S #6017,NV,445110.0,2015-03-13,2015
PUBLIX SUPERMARKET #892,GA,445110.0,2015-02-11,2015
RUGGERIO'S MARKET,PA,445110.0,2014-06-27,2014
ACME MARKETS,PA,445110.0,2013-09-10,2013
NEW MARKET,IN,445110.0,2016-10-27,2016
CASEYS GENERAL STORE,IN,445110.0,2016-10-26,2016
WAGNERS PRICE SLASHER INC,OR,445110.0,2016-09-22,2016
"THE FRESH MARKET, INC.",NC,445110.0,2016-08-30,2016
WHOLE FOODS MARKET GROUP INC,SC,445110.0,2016-08-03,2016
KE MCKAY'S MARKET OF COOS BAY INC,OR,445110.0,2016-07-26,2016
"FOOD LION, LLC",NC,445110.0,2016-07-20,2016
ANSELMO DELEON,OR,445110.0,2016-06-29,2016
HARVEYS SUPERMARKET,SC,445110.0,2016-06-28,2016
STRACK AND VAN TIL LLC,IN,445110.0,2016-05-31,2016
"BI-LO, LLC",NC,445110.0,2016-05-20,2016
INGLES MARKETS INCORPORATED,SC,445110.0,2016-05-06,2016
COBORNS INC,MN,445110.0,2016-04-29,2016
BI-LO LLC,SC,445110.0,2016-04-14,2016
CROWSON ENTERPRISES INC,OR,445110.0,2016-03-28,2016
VITAMIN COTTAGE NATURAL FOOD MARKETS INC,OR,445110.0,2016-03-18,2016
NEW SEASONS MARKET LLC,OR,445110.0,2016-03-14,2016
SAFEWAY INC,OR,445110.0,2016-03-07,2016
H MART PORTLAND INC,OR,445110.0,2016-03-04,2016
"LOWE'S FOODS, LLC",NC,445110.0,2016-03-03,2016
KROGER LIMITED PARTNERSHIP I DBA KROGER STORE 397,KY,445110.0,2016-01-28,2016
 KROGER LIMITED PARTNERSHIP I DBA KROGER FOOD STOR,KY,445110.0,2016-01-26,2016
SHADY COVE MARKET INC,OR,445110.0,2016-01-06,2016
FOOTS CREEK DELI MART INC,OR,445110.0,2015-12-21,2015
THEODORE R BELL AND CAROLE BELL,OR,445110.0,2015-12-15,2015
WINCO HOLDINGS INC,OR,445110.0,2015-11-17,2015
STRACK - VAN TIL LLC,IN,445110.0,2015-11-02,2015
PUBLIX SUPER MARKETS INC STORE 846,SC,445110.0,2015-10-28,2015
PLYMOUTH 1998 LLC DBA CUB FOODS,MN,445110.0,2015-10-15,2015
"FOOD LION, INC",NC,445110.0,2015-10-09,2015
SUPERVALU INC DBA CUB FOODS,MN,445110.0,2015-10-09,2015
SAFEWAY INC,OR,445110.0,2015-09-29,2015
SAFEWAY INC,OR,445110.0,2015-09-23,2015
PANTER ENTERPRISES INC,OR,445110.0,2015-09-17,2015
ALBERTSON'S LLC,OR,445110.0,2015-08-04,2015
C & K MARKET INC,OR,445110.0,2015-07-14,2015
AMITY FOODS & COFFEE HOUSE LLC,OR,445110.0,2015-06-29,2015
MARTIN HICKS,OR,445110.0,2015-06-26,2015
ORNER VENTURES INC,OR,445110.0,2015-06-25,2015
NEW SEASONS MARKET LLC,OR,445110.0,2015-05-19,2015
HOODLAND FOODS LLC,OR,445110.0,2015-05-06,2015
MARTIN HICKS,OR,445110.0,2015-04-28,2015
HOGANS CUT RATE STORE INCORPORATED,OR,445110.0,2015-03-27,2015
HOGANS CUT RATE STORE INCORPORATED,OR,445110.0,2015-02-26,2015
BARBUR WORLD FOODS INC,OR,445110.0,2015-02-19,2015
TIENDA Y CARNICERIA LA TAPATIA INC,OR,445110.0,2015-01-06,2015
S & J REED INC,OR,445110.0,2014-10-20,2014
SAFEWAY,AK,445110.0,2015-08-07,2015
SAVE MART SUPERMARKETS,CA,445110.0,2015-06-03,2015
WINN DIXIE,FL,445110.0,2014-01-10,2014
SAFEWAY INC,OR,445110.0,2015-03-09,2015
SAFEWAY INC,OR,445110.0,2015-02-24,2015
SUPERVALU INC,VA,445110.0,2015-01-10,2015
SUPERVALU INC.,MO,445110.0,2017-01-19,2017
FOOD UNIVERSE MARKETPLACE,NY,445110.0,2017-01-19,2017
BIG 8 STORES,TX,445110.0,2017-01-17,2017
"THE STOP & SHOP SUPERMARKETS COMPANY, LLC",NY,445110.0,2017-01-12,2017
RANCHO SAN MIGUEL,CA,445110.0,2017-01-05,2017
"W. J. FISHER FOODS, INC.",IA,445110.0,2017-01-05,2017
"WHOLE FOODS MARKET GROUP, INC.",MD,445110.0,2017-01-05,2017
SHADY MAPLE FARM MARKET,PA,445110.0,2017-01-03,2017
BLOOMFIELD TWP MARKET LLC DBA PLUM MARKET,MI,445110.0,2017-01-03,2017
"K-VA-T FOOD STORES, INC.",TN,445110.0,2016-12-12,2016
TADYCH'S ECONO FOODS,MI,445110.0,2016-12-02,2016
SHUN FAT SUPER MARKET,CA,445110.0,2016-11-21,2016
WALMART,FL,445110.0,2016-11-17,2016
WHOLE FOODS MARKET,CO,445110.0,2016-11-15,2016
QUALITY FOOD CENTERS INC,WA,445110.0,2016-11-14,2016
STATER BROS MARKETS,CA,445110.0,2016-11-04,2016
THE STOP & SHOP SUPERMARKET COMPANY LLC,MA,445110.0,2016-11-02,2016
H-MART HARTSDALE LLC,NY,445110.0,2016-10-31,2016
STATER BROS (CORPORATE OFFICE),CA,445110.0,2016-10-28,2016
RALEY'S SUPERMARKETS,CA,445110.0,2016-10-27,2016
BASHAS' INC.,AZ,445110.0,2016-10-25,2016
SAFEWAY INC,WA,445110.0,2016-10-25,2016
THE FRESH MARKET,VA,445110.0,2016-10-25,2016
"SMITH'S FOOD & DRUG CENTERS, INC.",AZ,445110.0,2016-10-25,2016
HI LITE FRESH MARKET,MI,445110.0,2016-10-24,2016
COPPER COUNTRY IGA INC,MI,445110.0,2016-10-24,2016
MEIJER - STORE #172,MI,445110.0,2016-10-24,2016
ALBERTSONS LLC,WA,445110.0,2016-10-20,2016
"SHOPRITE SUPERMARKET, INC.",NY,445110.0,2016-10-19,2016
 ECONO RIAL INC,PR,445110.0,2016-10-19,2016
GOLDEN STATE FOODS,CA,445110.0,2016-10-18,2016
INGLES MARKETS INCORPORATED,GA,445110.0,2016-10-12,2016
WITBECKS INC,MI,445110.0,2016-10-04,2016
"WALMART STORES, INC. # 1204",LA,445110.0,2016-09-27,2016
"SEALAND MECHANICAL, L.L.C",LA,445110.0,2016-09-27,2016
QUALITY FOOD CENTERS INC,WA,445110.0,2016-09-26,2016
"NEW ALBERTSON'S, INC., DBA JEWEL FOOD STORE 3425",IL,445110.0,2016-09-26,2016
STATER BROS,CA,445110.0,2016-09-21,2016
MEIJER (STORE NUMBER 034),MI,445110.0,2016-09-21,2016
LLANO LOGISTICS INC.,TX,445110.0,2016-09-14,2016
SMART & FINAL DISTRIBUTION CENTER,CA,445110.0,2016-09-07,2016
"THE SAVE MART COMPANIES, INC. ",CA,445110.0,2016-09-07,2016
